Beijing University of Posts and Telecommunications	Beijing	China
TU Berlin. Telekom Innovation Laboratories	Berlin	Germany
Ritsumeikan University	Kyoto	Japan
NiJel.org	Tempe	US
Rochester Institute of Technology	Rochester	US
Intel Corporation	Santa Clara	US
Studio Frankness AB	Stockholm	Sweden
Play	Warsaw	Poland
Alcatel-Lucent	Dublin	Ireland
Multimedia Engineering	Hsinchu	Taiwan
Reflective Thinking	Newcastle upon Tyne	UK
InContext Design	Concord	US
The University of Hong Kong	Pokfulam	Hong Kong
Open University of the Netherlands	Heerlen	The Netherlands
Microsoft Research	Hertzelia	Israel
XRCE Xerox	Meylan	France
Computer Science and Engineering, DUB Group, University of Washington	Seattle	US
Tokyo Metropolitan University	Hino	Japan
Informatics Institute	Ankara	Turkey
Ryerson University	Toronto	Canada
INRIA -  Institut National de Recherche en Informatique et en Automatique	Le Chesnay Cedex	France
University of Leeds	Leeds	UK
Measuring Usability LLC	Denver	US
MAD-Faculty	Genk	Belgium
Fraunhofer IAO	Stuttgart	Germany
Rivendel Consulting & Design	Berkeley	US
INESC-TEC	Porto	Portugal
Universidad Carlos III de Madrid	Leganes	Spain
Peking University	Beijing	China
University of Konstanz	Konstanz	Germany
American Institutes for Research	Washington	US
University of Bochum	Bochum	Germany
University of Oklahoma	Norman	US
Beihang University	Beijing	China
University of Trento	Trento	Italy
RNHA	Birmingham	UK
Notaplan Aps	Aalborg	Denmark
European University Cyprus	Nicosia	Cyprus
Technical University Vienna	Vienna	Austria
ntu	nottingham	UK
York University	Toronto	Canada
IIT	Kampur	India
National University of Science and Technology (NUST)	Islamabad	Pakistan
University of North Carolina at Charlotte	Charlotte	US
Tufts University	Medford	US
Princeton University	Princeton	US
Beth Israel Deaconess Medical Center	Boston	US
Royal Free NHS Trust	London	UK
Purdue University	West Lafayette	US
Harvard Medical School	Cambridge	US
Amsterdam University of Applied Sciences	Amsterdam	The Netherlands
Human-Computer Interaction Lab	College Park	US
Chemnitz University of Technology	Chemnitz	Germany
National Research Council of Canada	Ottawa	Canada
Kansai University	Osaka	Japan
Universidad Autonoma de Baja California	Tijuana	MEXICO
Nanjing University	Nanjing	China
Kingston University	Kingston Upon Thames	UK
SAP AG	Dresden	Germany
Hanyang Univ.	Seoul	Republic of Korea
NICTA	Sydney	Australia
Ochanomizu University	Bunkyo-ku	Japan
University of Alabama at Birmingham	Birmingham	US
Rice University	Houston	US
Mega Super Awesome Visuals Company	London	UK
Keio University	Fujisawa	Japan
Norsk Regnesentral/Norwegian Computing Center	Oslo	Norway
CICESE	Ensenada	Mexico
University of Sheffield	Sheffield	UK
Intel	Beijing	China
Sony CSL Paris	Paris	France
Telekom Innovation Laboratories	Berlin	Germany
Center for User Experience Research (CUO)	Leuven	Belgium
Nanyang Technological University	Singapore	Singapore
	San Diego	US
CWI (Centrum voor Wiskunde en Informatica)	Amsterdam	The Netherlands
East West University	Dhaka	Bangladesh
Industrial Systems Institute	Patras	Greece
KDDI Evolva Inc.	Chiyoda-ku	Japan
Univeristy of Massachusetts Lowell	Lowell	US
